Year,Population,White,Black,Hispanic,American Indian,Asian,Other
1980,2718215,2026262,73245,440701,145106,2026,30855
1981,2777403.313,2063757.188,75217.75,456178.3125,147917.5625,5120,29193.75
1982,2895779.938,2138747.563,79163.25,487132.9375,153540.6875,11308,25871.25
1983,3014156.563,2213737.938,83108.75,518087.5625,159163.8125,17496,22548.75
1984,3132533.188,2288728.313,87054.25,549042.1875,164786.9375,23684,19226.25
1985,3191721.5,2326223.5,89027,564519.5,167598.5,26778,17565
1986,3250909.813,2363718.688,90999.75,579996.8125,170410.0625,29872,15903.75
1987,3369286.438,2438709.063,94945.25,610951.4375,176033.1875,36060,12581.25
1988,3487663.063,2513699.438,98890.75,641906.0625,181656.3125,42248,9258.75
1989,3606039.688,2588689.813,102836.25,672860.6875,187279.4375,48436,5936.25
1990,3665228,2626185,104809,688338,190091,51530,4275
1991,3756815.75,2666689.563,107629.75,726292.9375,192795.9375,53891.5625,9516
1992,3939991.25,2747698.688,113271.25,802202.8125,198205.8125,58614.6875,19998
1993,4123166.75,2828707.813,118912.75,878112.6875,203615.6875,63337.8125,30480
1994,4306342.25,2909716.938,124554.25,954022.5625,209025.5625,68060.9375,40962
1995,4397930,2950221.5,127375,991977.5,211730.5,70422.5,46203
1996,4489517.75,2990726.063,130195.75,1029932.438,214435.4375,72784.0625,51444
1997,4672693.25,3071735.188,135837.25,1105842.313,219845.3125,77507.1875,61926
1998,4855868.75,3152744.313,141478.75,1181752.188,225255.1875,82230.3125,72408
1999,5039044.25,3233753.438,147120.25,1257662.063,230665.0625,86953.4375,82890
2000,5130632,3274258,149941,1295617,233370,89315,88131
2001,5209468.563,3300594.813,155513.5,1333087.75,234873.5,94389.625,91009.375
2002,5367141.688,3353268.438,166658.5,1408029.25,237880.5,104538.875,96766.125
2003,5524814.813,3405942.063,177803.5,1482970.75,240887.5,114688.125,102522.875
2004,5682487.938,3458615.688,188948.5,1557912.25,243894.5,124837.375,108279.625
2005,5761324.5,3484952.5,194521,1595383,245398,129912,111158
2006,5840161.063,3511289.313,200093.5,1632853.75,246901.5,134986.625,114036.375
2007,5997834.188,3563962.938,211238.5,1707795.25,249908.5,145135.875,119793.125
2008,6155507.313,3616636.563,222383.5,1782736.75,252915.5,155285.125,125549.875
2009,6313180.438,3669310.188,233528.5,1857678.25,255922.5,165434.375,131306.625
2010,6392017,3695647,239101,1895149,257426,170509,134185
